game,app_id,first_month,last_month,months_observed,peak_avg_ccu,latest_avg_ccu,latest_vs_peak_percent,decline_event_count,largest_decline_percent,median_monthly_pct_change
Z1 Battle Royale,433850,2016-02-01,2026-04-01,123,86807.87,238.45,-99.73,25,91.41,-0.0268
STAR WARS Battlefront II,1237950,2020-06-01,2026-04-01,71,12371.81,1401.0,-88.68,14,64.6,-0.0343
New World,1063730,2021-10-01,2026-04-01,55,410170.71,579.27,-99.86,12,82.56,-0.1789
Battlefield 2042,1517290,2021-11-01,2026-04-01,54,51299.36,1397.87,-97.28,9,75.83,-0.1074
Realm of the Mad God Exalt,200210,2012-07-01,2026-04-01,166,2901.4,1010.96,-65.16,5,43.66,-0.0148
Team Fortress 2,440,2012-07-01,2026-04-01,166,118906.77,50683.0,-57.38,2,34.78,-0.0016
ARK: Survival Evolved,346110,2015-05-01,2026-04-01,132,97224.1,17492.73,-82.01,1,34.55,-0.027
Apex Legends,1172470,2020-11-01,2026-04-01,66,257416.67,124387.18,-51.68,0,0.0,-0.0063
Dota 2,570,2012-07-01,2026-04-01,166,709178.26,425918.58,-39.94,0,0.0,0.0043
PUBG: BATTLEGROUNDS,578080,2017-03-01,2026-04-01,110,1584886.77,353167.38,-77.72,0,0.0,-0.0109
