game,app_id,date,avg_ccu,peak_ccu,source,review_count,positive_count,negative_count,positive_ratio,avg_sentiment_score
Dota 2,570,2012-07-01,52721.05,75041,steamcharts,,,,,
Dota 2,570,2012-08-01,55768.61,108689,steamcharts,,,,,
Dota 2,570,2012-09-01,61867.68,118724,steamcharts,,,,,
Dota 2,570,2012-10-01,75965.44,171860,steamcharts,,,,,
Dota 2,570,2012-11-01,101077.43,169631,steamcharts,,,,,
Dota 2,570,2012-12-01,121924.42,213521,steamcharts,,,,,
Dota 2,570,2013-01-01,147748.14,260989,steamcharts,,,,,
Dota 2,570,2013-02-01,166972.97,283870,steamcharts,,,,,
Dota 2,570,2013-03-01,180878.9,325598,steamcharts,,,,,
Dota 2,570,2013-04-01,174835.73,299667,steamcharts,,,,,
Dota 2,570,2013-05-01,194363.84,325815,steamcharts,,,,,
Dota 2,570,2013-06-01,210224.82,326160,steamcharts,,,,,
Dota 2,570,2013-07-01,237800.08,422617,steamcharts,,,,,
Dota 2,570,2013-08-01,330720.07,520532,steamcharts,,,,,
Dota 2,570,2013-09-01,312424.76,566715,steamcharts,,,,,
Dota 2,570,2013-10-01,329677.64,581615,steamcharts,,,,,
Dota 2,570,2013-11-01,348246.37,702792,steamcharts,,,,,
Dota 2,570,2013-12-01,366606.49,685503,steamcharts,,,,,
Dota 2,570,2014-01-01,393860.32,673496,steamcharts,,,,,
Dota 2,570,2014-02-01,421114.2,738682,steamcharts,,,,,
Dota 2,570,2014-03-01,409755.56,698197,steamcharts,,,,,
Dota 2,570,2014-04-01,421710.21,734998,steamcharts,,,,,
Dota 2,570,2014-05-01,482387.24,843024,steamcharts,,,,,
Dota 2,570,2014-06-01,513783.06,833145,steamcharts,,,,,
Dota 2,570,2014-07-01,537018.66,874975,steamcharts,,,,,
Dota 2,570,2014-08-01,490883.89,774319,steamcharts,,,,,
Dota 2,570,2014-09-01,477998.45,864261,steamcharts,,,,,
Dota 2,570,2014-10-01,495693.04,880655,steamcharts,,,,,
Dota 2,570,2014-11-01,528789.8,963810,steamcharts,,,,,
Dota 2,570,2014-12-01,523940.32,936583,steamcharts,,,,,
Dota 2,570,2015-01-01,558504.33,961737,steamcharts,,,,,
Dota 2,570,2015-02-01,628970.41,1262612,steamcharts,,,,,
Dota 2,570,2015-03-01,571713.15,1213940,steamcharts,,,,,
Dota 2,570,2015-04-01,526061.73,929677,steamcharts,,,,,
Dota 2,570,2015-05-01,580348.42,967674,steamcharts,,,,,
Dota 2,570,2015-06-01,568448.32,913997,steamcharts,,,,,
Dota 2,570,2015-07-01,554991.01,877264,steamcharts,,,,,
Dota 2,570,2015-08-01,606943.98,933942,steamcharts,,,,,
Dota 2,570,2015-09-01,508156.85,888728,steamcharts,,,,,
Dota 2,570,2015-10-01,521941.72,917306,steamcharts,,,,,
Dota 2,570,2015-11-01,539536.33,943635,steamcharts,,,,,
Dota 2,570,2015-12-01,573344.25,999452,steamcharts,,,,,
Dota 2,570,2016-01-01,612174.78,1067949,steamcharts,,,,,
Dota 2,570,2016-02-01,709178.26,1248394,steamcharts,,,,,
Dota 2,570,2016-03-01,672554.89,1291328,steamcharts,,,,,
Dota 2,570,2016-04-01,656944.37,1164041,steamcharts,,,,,
Dota 2,570,2016-05-01,623798.67,1075307,steamcharts,,,,,
Dota 2,570,2016-06-01,640226.98,1095994,steamcharts,,,,,
Dota 2,570,2016-07-01,638212.65,1084198,steamcharts,,,,,
Dota 2,570,2016-08-01,666013.05,1117519,steamcharts,,,,,
Dota 2,570,2016-09-01,622583.9,1064377,steamcharts,,,,,
Dota 2,570,2016-10-01,639355.14,1141191,steamcharts,,,,,
Dota 2,570,2016-11-01,584251.33,1007270,steamcharts,,,,,
Dota 2,570,2016-12-01,593920.6,1014671,steamcharts,,,,,
Dota 2,570,2017-01-01,580281.47,1007451,steamcharts,,,,,
Dota 2,570,2017-02-01,591567.25,1040877,steamcharts,,,,,
Dota 2,570,2017-03-01,548435.44,956232,steamcharts,,,,,
Dota 2,570,2017-04-01,540278.03,921318,steamcharts,,,,,
Dota 2,570,2017-05-01,567526.42,972876,steamcharts,,,,,
Dota 2,570,2017-06-01,555289.07,923122,steamcharts,,,,,
Dota 2,570,2017-07-01,498444.38,824297,steamcharts,,,,,
Dota 2,570,2017-08-01,556496.3,876395,steamcharts,,,,,
Dota 2,570,2017-09-01,491450.16,829555,steamcharts,,,,,
Dota 2,570,2017-10-01,466126.79,832550,steamcharts,,,,,
Dota 2,570,2017-11-01,487381.24,861173,steamcharts,,,,,
Dota 2,570,2017-12-01,513074.33,864939,steamcharts,,,,,
Dota 2,570,2018-01-01,486861.91,778627,steamcharts,,,,,
Dota 2,570,2018-02-01,438847.72,779299,steamcharts,,,,,
Dota 2,570,2018-03-01,437262.35,773897,steamcharts,,,,,
Dota 2,570,2018-04-01,430340.94,733214,steamcharts,,,,,
Dota 2,570,2018-05-01,474325.87,844713,steamcharts,,,,,
Dota 2,570,2018-06-01,473900.0,796886,steamcharts,,,,,
Dota 2,570,2018-07-01,441714.35,701582,steamcharts,,,,,
Dota 2,570,2018-08-01,476101.08,829281,steamcharts,,,,,
Dota 2,570,2018-09-01,466470.74,826166,steamcharts,,,,,
Dota 2,570,2018-10-01,431173.91,739643,steamcharts,,,,,
Dota 2,570,2018-11-01,461073.48,826053,steamcharts,,,,,
Dota 2,570,2018-12-01,439367.83,765422,steamcharts,,,,,
Dota 2,570,2019-01-01,475747.0,874888,steamcharts,,,,,
Dota 2,570,2019-02-01,564909.67,964921,steamcharts,,,,,
Dota 2,570,2019-03-01,586505.85,1033925,steamcharts,,,,,
Dota 2,570,2019-04-01,520218.98,971545,steamcharts,,,,,
Dota 2,570,2019-05-01,548523.18,997341,steamcharts,,,,,
Dota 2,570,2019-06-01,507528.44,865374,steamcharts,,,,,
Dota 2,570,2019-07-01,464787.61,779160,steamcharts,,,,,
Dota 2,570,2019-08-01,467148.29,826690,steamcharts,,,,,
Dota 2,570,2019-09-01,421971.24,753996,steamcharts,,,,,
Dota 2,570,2019-10-01,388355.86,739924,steamcharts,,,,,
Dota 2,570,2019-11-01,401931.8,708517,steamcharts,,,,,
Dota 2,570,2019-12-01,384179.76,685165,steamcharts,,,,,
Dota 2,570,2020-01-01,378925.43,616415,steamcharts,,,,,
Dota 2,570,2020-02-01,405978.65,663812,steamcharts,,,,,
Dota 2,570,2020-03-01,437147.36,743933,steamcharts,,,,,
Dota 2,570,2020-04-01,493300.27,801121,steamcharts,,,,,
Dota 2,570,2020-05-01,484189.02,793135,steamcharts,,,,,
Dota 2,570,2020-06-01,457184.42,733294,steamcharts,,,,,
Dota 2,570,2020-07-01,450213.99,712610,steamcharts,,,,,
Dota 2,570,2020-08-01,429717.12,666138,steamcharts,,,,,
Dota 2,570,2020-09-01,408609.78,670547,steamcharts,,,,,
Dota 2,570,2020-10-01,406361.36,723280,steamcharts,,,,,
Dota 2,570,2020-11-01,425904.83,711824,steamcharts,,,,,
Dota 2,570,2020-12-01,422552.32,697833,steamcharts,,,,,
Dota 2,570,2021-01-01,432671.65,694613,steamcharts,,,,,
Dota 2,570,2021-02-01,404832.13,651615,steamcharts,,,,,
Dota 2,570,2021-03-01,390412.76,648875,steamcharts,,,,,
Dota 2,570,2021-04-01,413784.97,705534,steamcharts,,,,,
Dota 2,570,2021-05-01,415144.96,672307,steamcharts,,,,,
Dota 2,570,2021-06-01,421509.96,734277,steamcharts,,,,,
Dota 2,570,2021-07-01,423156.18,707406,steamcharts,,,,,
Dota 2,570,2021-08-01,424980.17,699613,steamcharts,,,,,
Dota 2,570,2021-09-01,391082.08,666838,steamcharts,,,,,
Dota 2,570,2021-10-01,450761.44,752482,steamcharts,,,,,
Dota 2,570,2021-11-01,448860.53,747506,steamcharts,,,,,
Dota 2,570,2021-12-01,449297.37,756170,steamcharts,,,,,
Dota 2,570,2022-01-01,485791.43,786118,steamcharts,,,,,
Dota 2,570,2022-02-01,450200.14,725851,steamcharts,,,,,
Dota 2,570,2022-03-01,448723.6,740784,steamcharts,,,,,
Dota 2,570,2022-04-01,451826.77,730168,steamcharts,,,,,
Dota 2,570,2022-05-01,446916.9,691586,steamcharts,,,,,
Dota 2,570,2022-06-01,458143.51,699592,steamcharts,,,,,
Dota 2,570,2022-07-01,444594.56,684842,steamcharts,,,,,
Dota 2,570,2022-08-01,468466.87,747231,steamcharts,,,,,
Dota 2,570,2022-09-01,490724.86,867484,steamcharts,,,,,
Dota 2,570,2022-10-01,456302.65,1038848,steamcharts,,,,,
Dota 2,570,2022-11-01,523684.06,990057,steamcharts,,,,,
Dota 2,570,2022-12-01,468545.02,827395,steamcharts,,,,,
Dota 2,570,2023-01-01,428296.61,764490,steamcharts,,,,,
Dota 2,570,2023-02-01,401847.04,680746,steamcharts,,,,,
Dota 2,570,2023-03-01,418744.49,752617,steamcharts,,,,,
Dota 2,570,2023-04-01,429226.47,809580,steamcharts,,,,,
Dota 2,570,2023-05-01,433220.69,711816,steamcharts,,,,,
Dota 2,570,2023-06-01,421336.42,679525,steamcharts,,,,,
Dota 2,570,2023-07-01,438510.22,702381,steamcharts,,,,,
Dota 2,570,2023-08-01,444319.24,855495,steamcharts,,,,,
Dota 2,570,2023-09-01,437273.4,777466,steamcharts,,,,,
Dota 2,570,2023-10-01,435620.98,780443,steamcharts,,,,,
Dota 2,570,2023-11-01,433727.63,767353,steamcharts,,,,,
Dota 2,570,2023-12-01,435517.65,802728,steamcharts,,,,,
Dota 2,570,2024-01-01,440229.36,736488,steamcharts,,,,,
Dota 2,570,2024-02-01,427922.41,741290,steamcharts,,,,,
Dota 2,570,2024-03-01,428918.55,729865,steamcharts,,,,,
Dota 2,570,2024-04-01,456550.81,921133,steamcharts,,,,,
Dota 2,570,2024-05-01,512919.2,943059,steamcharts,,,,,
Dota 2,570,2024-06-01,486674.34,869492,steamcharts,,,,,
Dota 2,570,2024-07-01,475393.65,801126,steamcharts,,,,,
Dota 2,570,2024-08-01,449798.09,734381,steamcharts,,,,,
Dota 2,570,2024-09-01,426811.67,726385,steamcharts,,,,,
Dota 2,570,2024-10-01,410681.51,706726,steamcharts,,,,,
Dota 2,570,2024-11-01,454956.21,797599,steamcharts,,,,,
Dota 2,570,2024-12-01,437635.69,744163,steamcharts,,,,,
Dota 2,570,2025-01-01,446491.16,719825,steamcharts,,,,,
Dota 2,570,2025-02-01,431748.69,708043,steamcharts,,,,,
Dota 2,570,2025-03-01,402851.23,656279,steamcharts,,,,,
Dota 2,570,2025-04-01,393173.22,630716,steamcharts,,,,,
Dota 2,570,2025-05-01,408987.68,657074,steamcharts,,,,,
Dota 2,570,2025-06-01,411123.31,650259,steamcharts,,,,,
Dota 2,570,2025-07-01,426672.67,657349,steamcharts,,,,,
Dota 2,570,2025-08-01,532355.19,818732,steamcharts,,,,,
Dota 2,570,2025-09-01,580820.63,953869,steamcharts,,,,,
Dota 2,570,2025-10-01,538998.03,858940,steamcharts,,,,,
Dota 2,570,2025-11-01,583743.77,903303,steamcharts,,,,,
Dota 2,570,2025-12-01,594289.94,903542,steamcharts,,,,,
Dota 2,570,2026-01-01,569324.18,855690,steamcharts,,,,,
Dota 2,570,2026-02-01,597009.82,869734,steamcharts,,,,,
Dota 2,570,2026-03-01,477855.57,859016,steamcharts,,,,,
Dota 2,570,2026-04-01,425918.58,695006,steamcharts,,,,,
