game,app_id,date,avg_ccu,peak_ccu,source,review_count,positive_count,negative_count,positive_ratio,avg_sentiment_score,avg_ccu_change,avg_ccu_pct_change,peak_ccu_change
Dota 2,570,2012-07-01,52721.05,75041,steamcharts,,,,,,,,
Dota 2,570,2012-08-01,55768.61,108689,steamcharts,,,,,,3047.5599999999977,0.05780537375488537,33648.0
Dota 2,570,2012-09-01,61867.68,118724,steamcharts,,,,,,6099.07,0.1093638518155644,10035.0
Dota 2,570,2012-10-01,75965.44,171860,steamcharts,,,,,,14097.760000000002,0.22786954351609756,53136.0
Dota 2,570,2012-11-01,101077.43,169631,steamcharts,,,,,,25111.98999999999,0.3305712439762081,-2229.0
Dota 2,570,2012-12-01,121924.42,213521,steamcharts,,,,,,20846.990000000005,0.20624772513507716,43890.0
Dota 2,570,2013-01-01,147748.14,260989,steamcharts,,,,,,25823.720000000016,0.2118010485512256,47468.0
Dota 2,570,2013-02-01,166972.97,283870,steamcharts,,,,,,19224.829999999987,0.1301189307696191,22881.0
Dota 2,570,2013-03-01,180878.9,325598,steamcharts,,,,,,13905.929999999993,0.08328252171593986,41728.0
Dota 2,570,2013-04-01,174835.73,299667,steamcharts,,,,,,-6043.169999999984,-0.0334100329004654,-25931.0
Dota 2,570,2013-05-01,194363.84,325815,steamcharts,,,,,,19528.109999999986,0.11169404560497997,26148.0
Dota 2,570,2013-06-01,210224.82,326160,steamcharts,,,,,,15860.98000000001,0.08160458241615309,345.0
Dota 2,570,2013-07-01,237800.08,422617,steamcharts,,,,,,27575.25999999998,0.13117033469216421,96457.0
Dota 2,570,2013-08-01,330720.07,520532,steamcharts,,,,,,92919.99000000002,0.3907483546683417,97915.0
Dota 2,570,2013-09-01,312424.76,566715,steamcharts,,,,,,-18295.309999999998,-0.05531962423689618,46183.0
Dota 2,570,2013-10-01,329677.64,581615,steamcharts,,,,,,17252.880000000005,0.055222511813724395,14900.0
Dota 2,570,2013-11-01,348246.37,702792,steamcharts,,,,,,18568.72999999998,0.056323898702987485,121177.0
Dota 2,570,2013-12-01,366606.49,685503,steamcharts,,,,,,18360.119999999995,0.05272164071659957,-17289.0
Dota 2,570,2014-01-01,393860.32,673496,steamcharts,,,,,,27253.830000000016,0.07434082795424612,-12007.0
Dota 2,570,2014-02-01,421114.2,738682,steamcharts,,,,,,27253.880000000005,0.06919681576453307,65186.0
Dota 2,570,2014-03-01,409755.56,698197,steamcharts,,,,,,-11358.640000000014,-0.026972825898533004,-40485.0
Dota 2,570,2014-04-01,421710.21,734998,steamcharts,,,,,,11954.650000000023,0.029175076965398672,36801.0
Dota 2,570,2014-05-01,482387.24,843024,steamcharts,,,,,,60677.02999999997,0.1438832367848053,108026.0
Dota 2,570,2014-06-01,513783.06,833145,steamcharts,,,,,,31395.820000000007,0.06508426715433013,-9879.0
Dota 2,570,2014-07-01,537018.66,874975,steamcharts,,,,,,23235.600000000035,0.04522453504013946,41830.0
Dota 2,570,2014-08-01,490883.89,774319,steamcharts,,,,,,-46134.77000000002,-0.08590906319717084,-100656.0
Dota 2,570,2014-09-01,477998.45,864261,steamcharts,,,,,,-12885.440000000002,-0.026249466039718672,89942.0
Dota 2,570,2014-10-01,495693.04,880655,steamcharts,,,,,,17694.589999999967,0.037018090749038945,16394.0
Dota 2,570,2014-11-01,528789.8,963810,steamcharts,,,,,,33096.76000000007,0.0667686598948416,83155.0
Dota 2,570,2014-12-01,523940.32,936583,steamcharts,,,,,,-4849.48000000004,-0.00917090306961299,-27227.0
Dota 2,570,2015-01-01,558504.33,961737,steamcharts,,,,,,34564.00999999995,0.06596936460244174,25154.0
Dota 2,570,2015-02-01,628970.41,1262612,steamcharts,,,,,,70466.08000000007,0.12616926353999802,300875.0
Dota 2,570,2015-03-01,571713.15,1213940,steamcharts,,,,,,-57257.26000000001,-0.09103331268000348,-48672.0
Dota 2,570,2015-04-01,526061.73,929677,steamcharts,,,,,,-45651.42000000004,-0.079850218593013,-284263.0
Dota 2,570,2015-05-01,580348.42,967674,steamcharts,,,,,,54286.69000000006,0.10319452433842713,37997.0
Dota 2,570,2015-06-01,568448.32,913997,steamcharts,,,,,,-11900.100000000093,-0.020505095887053626,-53677.0
Dota 2,570,2015-07-01,554991.01,877264,steamcharts,,,,,,-13457.30999999994,-0.023673761583110964,-36733.0
Dota 2,570,2015-08-01,606943.98,933942,steamcharts,,,,,,51952.96999999997,0.09361047127592204,56678.0
Dota 2,570,2015-09-01,508156.85,888728,steamcharts,,,,,,-98787.13,-0.1627615286669455,-45214.0
Dota 2,570,2015-10-01,521941.72,917306,steamcharts,,,,,,13784.869999999995,0.02712719507766148,28578.0
Dota 2,570,2015-11-01,539536.33,943635,steamcharts,,,,,,17594.609999999986,0.03370991305312776,26329.0
